"time1_size_e_fq","rec_serv_e_fq","env_car_e_fq","time2_delay_e_fq","delay_rtt_e_fq","ncars_e_fq"
424,315578.666666667,496137.6,429,2411.4,15
425,307589.333333333,492142.933333333,430,3388.2,15
426,317176.533333333,499333.333333333,431,3890.4,15
427,308388.266666667,495338.666666667,432,3302.86666666667,15
428,313181.866666667,496137.6,433,3301.46666666667,15
429,312382.933333333,496137.6,434,1859.4,15
430,313181.866666667,495338.666666667,435,2777.86666666667,15
431,311584,495338.666666667,436,4293.73333333333,15
432,309187.2,497735.466666667,437,2904.13333333333,15
433,317176.533333333,494539.733333333,438,1949.4,15
434,307589.333333333,496936.533333333,439,2876.73333333333,15
435,314779.733333333,496137.6,440,2278.86666666667,15
436,307589.333333333,496936.533333333,441,2922.33333333333,15
437,317176.533333333,496137.6,442,3048.33333333333,15
438,305991.466666667,495338.666666667,443,2833.53333333333,15
439,317176.533333333,495338.666666667,444,3006.86666666667,15
440,306790.4,496137.6,445,2713.66666666667,15
441,316377.6,500132.266666667,446,3381.53333333333,15
442,309187.2,495338.666666667,447,2566.46666666667,15
443,313980.8,496137.6,448,3900.4,15
444,312382.933333333,497735.466666667,449,2402.73333333333,15
445,309986.133333333,495338.666666667,450,2709.2,15
446,313980.8,498534.4,451,4309,15
447,309986.133333333,495338.666666667,452,2633.33333333333,15
448,315578.666666667,496936.533333333,453,2325,15
449,307589.333333333,496137.6,454,4268.8,15
450,317176.533333333,496137.6,455,2452.06666666667,15
