"time1_size_e2_fs","rec_serv_e2_fs","env_car_e2_fs","time2_delay_e2_fs","delay_rtt_e2_fs","ncars_e2_fs"
408,539280,981090.133333333,409,2649.75333333333,15
409,544073.6,985883.733333333,410,3002.92,15
410,535285.333333333,983486.933333333,411,1745.32,15
411,532888.533333333,981889.066666667,412,499.62,15
412,528094.933333333,982688,413,2224.82,15
413,536883.2,981889.066666667,414,721.346666666667,15
414,543274.666666667,985084.8,415,5.44,15
415,512915.2,981090.133333333,416,277.466666666667,15
416,546470.4,984285.866666667,417,742.666666666667,15
417,536084.266666667,981889.066666667,418,3905.32,15
418,549666.133333333,981889.066666667,419,1778.61333333333,15
419,568840.533333333,989878.4,420,639.2,15
420,517708.8,987481.6,421,3246.82666666667,15
421,554459.733333333,988280.533333333,422,1441,15
422,562449.066666667,992275.2,423,660.326666666667,15
423,553660.8,986682.666666667,424,1220.2,15
424,561650.133333333,986682.666666667,425,1210.73333333333,15
425,560052.266666667,988280.533333333,426,1174.50666666667,15
426,559253.333333333,985883.733333333,427,1485,15
427,552861.866666667,990677.333333333,428,464.106666666667,15
428,557655.466666667,989878.4,429,459.078,15
429,552861.866666667,988280.533333333,430,1533.13333333333,15
430,551264,982688,431,751.76,15
431,564845.866666667,984285.866666667,432,475.44,15
432,528893.866666667,990677.333333333,433,4874.86666666667,15
433,551264,984285.866666667,434,1631.03333333333,15
434,550465.066666667,989079.466666667,435,1266.38,15
435,551264,983486.933333333,436,243.18,15
436,529692.8,996269.866666667,437,435.593333333333,15
437,556057.6,982688,438,330.406666666667,15
438,547269.333333333,987481.6,439,812.34,15
439,551264,986682.666666667,440,781,15
440,556057.6,992275.2,441,500.266666666667,15
441,562449.066666667,987481.6,442,224.8,15
442,540877.866666667,979492.266666667,443,820.4,15
443,546470.4,991476.266666667,444,528.466666666667,15
444,544073.6,984285.866666667,445,747.4,15
445,551264,989079.466666667,446,134.813333333333,15
446,546470.4,987481.6,447,465.213333333333,15
447,553660.8,985883.733333333,448,3695.97333333333,15
448,548867.2,986682.666666667,449,758.24,15
449,560851.2,982688,450,520.7,15
450,545671.466666667,977894.4,451,2923.10666666667,15
